source_url,anchor_text,link_url,rel,nofollow,context
https://www.learnpython.org/,C++,https://www.learn-cpp.org,,False,"Python
                    
		                Java
                    
		                HTML
                    
		                Go
                    
		                C
                    
		                C++
                    
		                JavaScript
                    
		                TypeScript
                    
		                PHP
                    
		                Shell
                    
		                C#
                    
		                Perl
                    
		                Ruby
                    
		                Scala
                    
		                SQL"
https://www.learnpython.org/,JavaScript,https://www.learn-js.org,,False,"Python
                    
		                Java
                    
		                HTML
                    
		                Go
                    
		                C
                    
		                C++
                    
		                JavaScript
                    
		                TypeScript
                    
		                PHP
                    
		                Shell
                    
		                C#
                    
		                Perl
                    
		                Ruby
                    
		                Scala
                    
		                SQL"
https://www.learnpython.org/,TypeScript,https://www.learn-ts.org,,False,"Python
                    
		                Java
                    
		                HTML
                    
		                Go
                    
		                C
                    
		                C++
                    
		                JavaScript
                    
		                TypeScript
                    
		                PHP
                    
		                Shell
                    
		                C#
                    
		                Perl
                    
		                Ruby
                    
		                Scala
                    
		                SQL"
https://www.learnpython.org/,PHP,https://www.learn-php.org,,False,"Python
                    
		                Java
                    
		                HTML
                    
		                Go
                    
		                C
                    
		                C++
                    
		                JavaScript
                    
		                TypeScript
                    
		                PHP
                    
		                Shell
                    
		                C#
                    
		                Perl
                    
		                Ruby
                    
		                Scala
                    
		                SQL"
https://www.learnpython.org/,Shell,https://www.learnshell.org,,False,"Python
                    
		                Java
                    
		                HTML
                    
		                Go
                    
		                C
                    
		                C++
                    
		                JavaScript
                    
		                TypeScript
                    
		                PHP
                    
		                Shell
                    
		                C#
                    
		                Perl
                    
		                Ruby
                    
		                Scala
                    
		                SQL"
https://www.learnpython.org/,C#,https://www.learncs.org,,False,"Python
                    
		                Java
                    
		                HTML
                    
		                Go
                    
		                C
                    
		                C++
                    
		                JavaScript
                    
		                TypeScript
                    
		                PHP
                    
		                Shell
                    
		                C#
                    
		                Perl
                    
		                Ruby
                    
		                Scala
                    
		                SQL"
https://www.learnpython.org/,Perl,https://www.learn-perl.org,,False,"Python
                    
		                Java
                    
		                HTML
                    
		                Go
                    
		                C
                    
		                C++
                    
		                JavaScript
                    
		                TypeScript
                    
		                PHP
                    
		                Shell
                    
		                C#
                    
		                Perl
                    
		                Ruby
                    
		                Scala
                    
		                SQL"
https://www.learnpython.org/,Ruby,https://www.learnrubyonline.org,,False,"Python
                    
		                Java
                    
		                HTML
                    
		                Go
                    
		                C
                    
		                C++
                    
		                JavaScript
                    
		                TypeScript
                    
		                PHP
                    
		                Shell
                    
		                C#
                    
		                Perl
                    
		                Ruby
                    
		                Scala
                    
		                SQL"
https://www.learnpython.org/,Scala,https://www.learnscala.org,,False,"Python
                    
		                Java
                    
		                HTML
                    
		                Go
                    
		                C
                    
		                C++
                    
		                JavaScript
                    
		                TypeScript
                    
		                PHP
                    
		                Shell
                    
		                C#
                    
		                Perl
                    
		                Ruby
                    
		                Scala
                    
		                SQL"
https://www.learnpython.org/,SQL,https://www.learnsqlonline.org,,False,"Python
                    
		                Java
                    
		                HTML
                    
		                Go
                    
		                C
                    
		                C++
                    
		                JavaScript
                    
		                TypeScript
                    
		                PHP
                    
		                Shell
                    
		                C#
                    
		                Perl
                    
		                Ruby
                    
		                Scala
                    
		                SQL"
